emp_id,login,logout
100,2024-02-19 09:15:00,2024-02-19 18:20:00
100,2024-02-20 09:05:00,2024-02-20 17:00:00
100,2024-02-21 09:00:00,2024-02-21 17:10:00
100,2024-02-22 10:00:00,2024-02-22 16:55:00
100,2024-02-23 10:30:00,2024-02-23 19:15:00
200,2024-02-19 08:00:00,2024-02-19 18:20:00
200,2024-02-20 09:00:00,2024-02-20 16:30:00
200,2024-02-21 09:15:00,2024-02-21 19:20:00
200,2024-02-22 11:00:00,2024-02-22 17:05:00
200,2024-02-23 09:30:00,2024-02-23 17:20:00
300,2024-02-19 07:00:00,2024-02-19 18:15:00
300,2024-02-20 09:00:00,2024-02-20 19:10:00
300,2024-02-21 09:15:00,2024-02-21 18:20:00
300,2024-02-22 11:00:00,2024-02-22 17:00:00
300,2024-02-23 09:30:00,2024-02-23 16:30:00